coursename,subject,professor,description
AAS1100,Introduction to Asian American Studies,AAS,Spring.,{'Christine Balance'},"This interdisciplinary course offers an introduction to the study of Asian/Pacific Islanders in the U.S. This course will examine, through a range of disciplines (including history, literary studies, film/media, performance, anthropology, sociology), issues and methods that have emerged from Asian American Studies since its inception in the late 1960s, including the types of research questions and methods that the study of Asians &amp; Pacific Islander peoples in the U.S. as well as politics and historical relations in the Asia/Pacific region have to offer. In this course, we will pay particular attention to the role of culture and its production in documenting histories, formulating critical practices, and galvanizing political efforts. Topics and themes include: war &amp; empire; queer &amp; feminist lives and histories; refugee, adoptees, transnational families, and other forms of kinship &amp; belonging; anti-Asian violence; settler colonialism and postcolonial critique.",
AAS2620,Introduction to Asian American Literature,AAS,Spring.,{'Sunn Wong'},"This course will introduce both a variety of writings by Asian North American authors and some critical issues concerning the production and reception of Asian American texts. Working primarily with novels, we will be asking questions about the relation between literary forms and the socio-historical context within which they take on their meanings, and about the historical formation of Asian American identities.",
AAS2641,Race and Modern US History,AAS,Spring.,{'Derek Chang'},"This course surveys modern U.S. history, from Reconstruction to the contemporary period. It will examine how race has been the terrain on which competing ideas of the American nation have been contested. From struggles over citizenship rights to broader meanings of national belonging, we will explore how practices, ideas, and representations have shaped political, cultural, and social power. A key concern for this course is examining how groups and individuals have pursued racial justice from the late-nineteenth century to the present.",
AAS3030,Asians in the Americas: A Comparative Perspective,AAS,Spring.,{'Viranjini Munasinghe'},"The common perception of ethnicity is that it is a ""natural"" and an inevitable consequence of cultural difference. ""Asians"" overseas, in particular, have won repute as a people who cling tenaciously to their culture and refuse to assimilate into their host societies and cultures. But, who are the ""Asians?"" On what basis can we label ""Asians"" an ethnic group? Although there is a significant Asian presence in the Caribbean, the category ""Asian"" itself does not exist in the Caribbean. What does this say about the nature of categories that label and demarcate groups of people on the basis of alleged cultural and phenotypical characteristics? This course will examine the dynamics behind group identity, namely ethnicity, by comparing and contrasting the multicultural experience of Asian populations in the Caribbean and the United States. Ethnographic case studies will focus on the East Indian and Chinese experiences in the Caribbean and the Chinese, Korean, Japanese, Filipino, and Indian experiences in the United States.",
AAS4550,Race and the University,AAS,Spring.,"{'Sunn Wong', 'Derek Chang'}","What is a university, what does it do, and how does it do it? Moving out from these more general questions, this seminar will focus on a more specific set of questions concerning the place of race within the university. What kinds of knowledge are produced in the 20th- century U.S. university? Why is it, and how is it, that certain knowledge formations and disciplines come to be naturalized or privileged within the academy? How has the emergence of fields of inquiry such as Ethnic Studies (with an epistemological platform built on the articulations of race, class and gender) brought to the fore (if not brought to crisis) some of the more vexing questions that strike at the core of the idea of the university as the pre-eminent site of disinterested knowledge? This seminar will give students the opportunity to examine American higher education's (particularly its major research institutions) historical instantiation of the relations amongst knowledge, power, equality and democracy.",
AAS4950,Independent Study,AAS,"Fall, Spring.",{'Sunn Wong'},Independent reading course in topics not covered in regularly scheduled courses. Students select a topic in consultation with the faculty member who has agreed to supervise the course work.,
AAS6818,"Race, Performance, and Sound Studies",AAS,,{'Christine Balance'},"This course engages with new and foundational writings in sound studies that center the racialized body -- be it of the performer, listener, or critic -- as well as racialized histories, places, and practices. This interdisciplinary course will study methodological tools, critical concepts, and readings drawn from queer, feminist, black, Latinx, Asian American, and postcolonial approaches, to name a few. We will engage with the role of sound and its technologies throughout U.S. history (i.e. slavery, wars and empire, social movements, immigration &amp; migration, militarism) as well as the ways in which racialized performers, listeners, and critics have labored within and against these sonic regimes, imagining new politics, practices, and ways of being.",
AEM1200,Introduction to Business Management,AEM,"Spring, Summer.",{'Pedro Perez'},"Provides an overview of management and business. Human resource, marketing, finance, and strategy concerns are addressed with consideration paid to current issues such as technological innovation and its impact on operations, globalization, ethics, teamwork, leadership, and entrepreneurship. Opportunity to deliver an integrative group project.",
AEM1500,An Introduction to the Economics of Environmental and Natural Resources,AEM,Spring.,{'Catherine Kling'},"This course provides an introduction to the economic foundations for public decision-making regarding environmental quality and natural resources. Emphasis is placed on how basic tools of economic analysis can be used to identify sources of environmental problems and solutions to these problems. Topics to be covered include ""individual hand"" concepts underlying market success, market failure with particular focus on public goods and externalities, benefit-cost analysis and non-market valuation, incentive-based policies for controlling pollution, and economic aspects of renewable and non-renewable resources.", Understand how economic incentives influence individual and group behavior and how this knowledge can be used to explain and address environmental challenges. Develop the ability to identify the range of potential economic costs and benefits of a particular environmental policy and the array of economic tools that can be used to estimate these costs and benefits. Improve critical thinking skills to assess the tradeoffs inherent to a broad range of contemporary environmental issues.
AEM2000,Contemporary Controversies in the Global Economy,AEM,"Fall, Spring.",{'Chris Barrett'},"This course aims to stimulate critical thinking, economic reasoning, and cogent writing about contemporary controversies that attract regular attention in the international press and among key private and public sector decision-makers. Students read and discuss competing arguments about current issues such as morally questionable market exchange among willing buyres and sellers, immigration policy, foreign aid, sovereign debt forgiveness, regulating genetically modified foods, etc. Students write, edit, and rewrite short briefing papers which are evaluated for quality of communication as well as subject matter content.", Student will demonstrate proficiency in written communication. Student will demonstrate competency in analysis of ethical problems in business or economics in both domestic and international contexts. Student will be able to identify and analyze evidence pertaining to business and economics problems in society and communicate results. Student will develop an awareness and understanding of the cultural issues that impact business operations in a global society. Student will be able to demonstrate familiarity with major business and economics issues facing a firm and society. Student will demonstrate ability to offer critical analysis of a variety of contemporary business issues.
